,System,TESS source,Cadence [s],Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,duration,depth,t0,T0err,period,Perioderr,Ephemeris_reference,R_A,R_b,R_b_over_R_A_squared,TIC,TESSMag,SNR,M_A,M_b,a(AU),(m_p/m_s)*(R_s/a)^5,Period(day)
146,HATS-72,TESS-SPOC,1800, TEP  ,22.0,36.0,6.32,-16.0,59.0,59.8,12.47,9.76,0.12853,1.1,2458087.64782,8.0,7.3279474,1.6E-06,arXiv:2002.05776,0.7214,0.7224,0.0101181958351445,188570092,11.3875,53.475283071125,0.7311,0.1254,0.06652,5.34244974897854E-11,7.3279474
166,KELT-21,TESS-SPOC,1800, TEP  ,20.0,19.0,12.0,32.0,34.0,51.8,10.48,10.09,0.17106,1.1,2457382.64073,0.00041,3.6127628,2.8E-06,arXiv:1712.03241,1.638,1.586,0.0094597237345679,203189770,10.4219,111.36469869322000,1.458,0.0,0.05224,0.0,3.6127628
188,Qatar-4,QLP,1800, TEP  ,0.0,19.0,26.22,44.0,1.0,39.4,13.6,11.52,0.0891,2.1,2458293.1227,0.00015,1.805369,7E-07,arXiv:2012.07478,0.849,1.135,0.0180333422339349,440113053,12.8416,31.1848263041256,0.896,6.1,0.02803,3.60366983027191E-07,1.805369
191,Qatar-7,QLP,1800, TEP  ,23.0,54.0,3.63,37.0,1.0,18.6,13.03,11.56,0.1491,1.2,2458043.32075,0.00016,2.03207,1.7E-06,arXiv:1812.05601,1.564,1.7,0.0119213167533081,291685334,12.489,29.766644037541100,1.409,1.88,0.0352,4.79752767301513E-07,2.03207
192,Qatar-8,TESS-SPOC,1800, TEP  ,10.0,29.0,38.96,70.0,31.0,37.5,11.53,9.94,0.1678,1.1,2458210.8392,0.001,3.7146428,6E-07,2020AcA....70..181M,1.315,1.285,0.009635064623205480,103751498,10.9101,82.4386488163983,1.029,0.371,0.0474,1.2302568638609E-08,3.7146428
193,Qatar-9,TESS-SPOC,1800, TEP  ,10.0,42.0,59.54,60.0,57.0,50.8,14.13,11.1,0.0778,2.8,2458227.75643,0.00027,1.540731,3.8E-05,2019AJ....157..224A,0.696,1.009,0.0212062430873516,149918151,12.9178,36.7267870724727,0.719,1.19,0.0234,7.9999116022489E-08,1.540731
198,TrES-5,QLP,1800, TEP  ,20.0,20.0,53.24,59.0,26.0,55.6,13.72,11.59,0.075,2.2,2455443.25271,0.00011,1.48224754,1.7E-07,2016AcA....66...55M,0.868,1.194,0.0190927763534079,233948455,12.883,29.071988068512800,0.901,1.79,0.02446,2.32137235681315E-07,1.48224754
199,WASP-001,TESS-SPOC,1800, TEP  ,0.0,20.0,40.08,31.0,59.0,23.8,11.31,10.28,0.155,1.2,2453912.51504,0.00035,2.51994529,5E-08,2016MNRAS.459..789T,1.47,1.483,0.0102694578027778,57984377,11.1355,75.1735696098717,1.24,0.854,0.03889,1.10340094012636E-07,2.51994529
208,WASP-011,TESS-SPOC,1800, TEP  ,3.0,9.0,28.55,30.0,40.0,24.9,11.89,9.42,0.109,2.2,2454729.90716,0.0002,3.72247967,4.5E-07,2015A+A...579A.136M,0.772,0.99,0.0165934110148091,85593751,10.9332,131.01783316923600,0.806,0.492,0.04375,2.16833550914999E-09,3.72247967
298,WASP-107,QLP,1800, TEP  ,12.0,33.0,32.84,-10.0,8.0,46.1,11.59,8.64,0.11411,2.7,2457584.329746,1.1E-05,5.72149242,4.6E-07,2017MNRAS.469.1622M,0.67,0.924,0.0191908503667632,429302040,10.418,223.763619484823,0.683,0.096,0.0553,7.61901962911004E-11,5.72149242
